,days_since_first_payment,average_total_net_revenue
0,0.0,38.49729636363636
1,1.0,257.69675333333345
2,2.0,380.06937999999997
3,3.0,268.46821777777774
4,4.0,415.5471114285714
5,5.0,638.3277822222221
6,6.0,715.1559519999997
7,7.0,802.4156563636363
8,8.0,1202.3896929999996
9,9.0,933.797178
10,10.0,1067.8813519999999
11,11.0,1262.048867
12,12.0,1301.2103100000002
13,13.0,1575.429209090909
14,14.0,1696.736720909091
15,15.0,1677.4327781818183
16,16.0,2750.074967272727
17,17.0,6126.8059972727315
18,18.0,2766.4497818181817
19,19.0,2994.596532727273
20,20.0,3381.547451818182
21,21.0,4328.95218909091
22,22.0,3523.244307272726
23,23.0,6571.788044545456
24,24.0,3466.623700909091
25,25.0,3942.612353636364
26,26.0,4396.544603636364
27,27.0,4408.917020909092
28,28.0,4918.565536363636
29,29.0,5147.734488181818
30,30.0,4864.730636363637
31,31.0,5762.4014954545455
32,32.0,4723.94958
33,33.0,5719.6523881818175
34,34.0,4951.235637272727
35,35.0,5892.071751818182
36,36.0,6806.9426227272725
37,37.0,7086.4419336363635
38,38.0,5993.864603636364
39,39.0,10028.64184909091
40,40.0,6832.618741818183
41,41.0,6750.464303636362
42,42.0,9521.364876363637
43,43.0,7553.65058
44,44.0,6561.844923636363
45,45.0,6849.218603636365
46,46.0,10224.902320909088
47,47.0,7120.811522727273
48,48.0,6689.779755454546
49,49.0,10440.557977272727
50,50.0,7833.609353636363
51,51.0,9158.302556363637
52,52.0,8613.516700909091
53,53.0,12897.100475454547
54,54.0,9247.292287272729
55,55.0,13258.38633727273
56,56.0,11141.579552727271
57,57.0,11716.331320909088
58,58.0,11455.143627272728
59,59.0,11831.79369090909
60,60.0,13364.899502727272
