,#account_id,first_pay_time,disputes_d30,disputed_d30,disputable_payment,game_types,long_sessions_ps_score_180,long_sessions_ps_score_210,long_sessions_ps_score_240,monetary_consumption_score,user_withdrawed,fluctuating_wagers,payment_methods_score,payment_methods_sequence,payment_impulsiveness_score,nightly_play,days_played_score,increasing_tolerance,losses_of_winning_score,time_comsumption
2,10760016.0,2024-05-06 21:31:44.323,0,0.0,0.0,18,3,3,3,127.3197,1,0.0,1,"[""checkout_credit_api"",null]",6.738736386703903,1,8,0.7,0.004601226993865,287245.0
3,10665019.0,2024-04-10 01:16:30.928,0,0.0,0.0,2,0,0,0,18.74,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,0.25,157.0
11,10699535.0,2024-04-18 21:28:42.366,0,0.0,0.0,3,7,6,5,33.512,0,0.0,1,"[null,""checkout_apple_pay""]",3.854315183913455,1,6,0.4,0.0086206896551724,262242.0
13,10566006.0,2024-04-05 01:10:26.519,0,0.0,0.0,3,8,8,8,28.06,1,0.0,1,"[""checkout_apple_pay"",null]",8.375220594109745,1,17,0.0,0.0,411173.0
17,10651703.0,2024-05-05 22:27:05.893,0,0.0,0.0,23,3,3,3,14.000800000000002,0,0.0,1,"[null,""checkout_apple_pay""]",5.882660572677412,1,24,0.0,0.2307692307692307,184839.0
18,10584359.0,2024-04-06 12:48:13.549,0,0.0,0.0,12,4,4,4,18.54,0,0.0,1,"[""checkout_credit_api"",null]",3.513243312301124,1,8,0.8,0.5,380134.0
19,10670783.0,2024-04-11 05:19:34.239,0,0.0,0.0,20,6,6,6,37.48,0,,1,"[""checkout_apple_pay""]",0.0,1,5,,0.0,474237.0
24,10740079.0,2024-04-30 05:32:42.940,0,0.0,0.0,2,3,3,3,101.236,1,0.0,1,"[""checkout_apple_pay""]",16.324074528131757,1,3,0.0,0.1379310344827586,261722.0
25,10721763.0,2024-04-26 07:14:16.039,0,0.0,0.0,8,1,1,1,23.35,0,0.01,1,"[null,""checkout_credit_api""]",8.8719421962349,1,4,0.1,,127638.0
31,10768661.0,2024-05-10 21:56:53.082,0,0.0,0.0,5,3,3,3,40.5597,0,0.0,1,"[""checkout_apple_pay""]",15.416129911394757,1,6,0.0,,335077.0
33,10766128.0,2024-05-09 00:43:37.591,0,0.0,0.0,8,2,2,2,23.468,0,0.0,1,"[""checkout_apple_pay""]",10.074857418345928,1,3,0.0,0.0769230769230769,107864.0
39,10727873.0,2024-04-26 17:46:43.490,0,0.0,0.0,55,2,2,2,4.61,1,0.0,1,"[""checkout_apple_pay""]",,1,4,0.0,0.0,121187.0
