Segment,Matuirity,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Disputer rate,Payers,Disputers,Payers_covered,Payers_covered_to_point,Disputes_covered,Disputes_covered_to_point
maturity_day < 14 & payments > 1,12.0,max_daily_spent > 279.995,spent_last_7d > 1249.5,max_bet ≤ 19.0,local_time_before_6 ≤ 5197.0,,0.20430107526881722,93.0,19.0,2.6900397373827013e-05,0.0,0.00144,0.001
maturity_day < 14 & payments > 1,13.0,payments_last_7d > 5.5,spent_last_7d > 1157.0,max_daily_spent > 1049.985,local_time_12_to_18 > 4519.0,,0.19230769230769232,104.0,20.0,3.0082164805139887e-05,0.0001,0.00151,0.003
maturity_day < 14 & payments > 1,14.0,payments_last_7d > 5.5,spent_last_7d > 1363.5,max_daily_spent > 1049.985,games_last_7d > 11654.5,,0.19008264462809918,121.0,23.0,3.49994417444416e-05,0.0001,0.00174,0.005
maturity_day < 14 & payments > 1,2.0,spent_last_14d > 247.485,win_amount_last_14d > 8415.855,,,,0.18888888888888888,90.0,17.0,2.6032642619832592e-05,0.0001,0.00128,0.006
maturity_day < 14 & payments > 1,4.0,spent_last_7d > 288.995,bet_money_to_date > 23771.0,,,,0.18681318681318682,91.0,17.0,2.63218942044974e-05,0.0001,0.00128,0.007
maturity_day < 14 & payments > 1,11.0,payments_last_7d > 9.5,spent_last_7d > 1026.49,max_daily_spent ≤ 1662.5,max_bet ≤ 19.0,local_time_after_18 ≤ 2129.5,0.1827956989247312,93.0,17.0,2.6900397373827013e-05,0.0002,0.00128,0.009
maturity_day > 14 & paying_matuirity > 14 & payments > 1,17.0,payments_to_date > 40.5,bet_money_to_date > 43366.1,"days_gt50_bet__1,0,1,1,1,1,1] ≤ 0.5",,,0.1827956989247312,93.0,17.0,2.6900397373827013e-05,0.0002,0.00128,0.01
maturity_day > 14 & paying_matuirity > 14 & payments > 1,44.0,payments_last_14d > 8.5,win_amount_last_14d > 5884.065,local_time_after_18 > 5855.0,money_games_last_14d ≤ 18275.5,games_last_7d > 9633.0,0.1827956989247312,93.0,17.0,2.6900397373827013e-05,0.0002,0.00128,0.011
maturity_day > 14 & paying_matuirity > 14 & payments > 1,16.0,max_daily_spent > 284.995,spent_last_7d > 1401.495,money_games_last_7d > 5507.0,games_last_7d ≤ 18799.0,,0.18181818181818182,121.0,22.0,3.49994417444416e-05,0.0003,0.00166,0.013
maturity_day > 14 & paying_matuirity > 14 & payments > 1,27.0,spent_last_7d > 102.995,spent_last_7d > 1687.5,minutes_to_play ≤ 0.5,"days_gt50_bet__1,0,1,1,1,1,1] ≤ 0.5",,0.18181818181818182,99.0,18.0,2.863590688181585e-05,0.0003,0.00136,0.014
maturity_day > 14 & paying_matuirity > 14 & payments > 1,15.0,spent_last_7d > 1155.0,"days_gt50_bet__1,0,1,1,1,1,1] ≤ 0.5",payments_last_7d > 27.5,,,0.18110236220472442,127.0,23.0,3.6734951252430434e-05,0.0003,0.00174,0.016
maturity_day < 14 & payments > 1,6.0,max_daily_spent > 153.995,spent_to_date > 3477.475,,,,0.17894736842105263,95.0,17.0,2.7478900543156627e-05,0.0004,0.00128,0.017
maturity_day > 14 & paying_matuirity > 14 & payments > 1,28.0,spent_last_14d > 154.99,max_daily_spent > 723.5,minutes_to_play ≤ 1.5,spent_last_7d > 1548.5,spent_last_14d ≤ 6492.0,0.17777777777777778,90.0,16.0,2.6032642619832592e-05,0.0004,0.00121,0.018
maturity_day > 14 & paying_matuirity > 14 & payments > 1,20.0,payments_last_7d > 2.5,max_daily_spent > 412.0,max_daily_spent > 1349.995,money_games_last_7d > 7605.0,,0.17777777777777778,90.0,16.0,2.6032642619832592e-05,0.0004,0.00121,0.02
maturity_day < 14 & payments > 1,3.0,max_daily_spent > 154.995,bet_money_to_date > 16786.149,,,,0.17777777777777778,90.0,16.0,2.6032642619832592e-05,0.0004,0.00121,0.021
maturity_day < 14 & payments > 1,1.0,daily_games_first_14d > 631.415,spent_to_date > 164.995,bet_money_to_date > 6199.35,,,0.17647058823529413,102.0,18.0,2.9503661635810273e-05,0.0005,0.00136,0.022
maturity_day > 14 & paying_matuirity > 14 & payments > 1,22.0,spent_last_14d > 166.5,max_daily_spent > 989.98,max_games_daily_games > 3182.0,local_time_6_to_12 ≤ 15466.0,,0.17543859649122806,114.0,20.0,3.297468065178795e-05,0.0005,0.00151,0.024
maturity_day < 14 & payments > 1,9.0,spent_to_date > 466.995,max_daily_spent > 1599.985,,,,0.17355371900826447,121.0,21.0,3.49994417444416e-05,0.0005,0.00159,0.025
maturity_day > 14 & paying_matuirity > 14 & payments > 1,34.0,payments_last_14d > 16.5,max_daily_spent > 551.0,spent_last_14d > 4891.99,minutes_to_payment ≤ 6.5,,0.17204301075268819,93.0,16.0,2.6900397373827013e-05,0.0006,0.00121,0.026
maturity_day < 14 & payments > 1,10.0,spent_last_7d > 433.49,max_daily_spent > 1672.5,,,,0.17094017094017094,117.0,20.0,3.384243540578237e-05,0.0006,0.00151,0.028
maturity_day < 14 & payments > 1,9.0,spent_to_date > 466.995,max_daily_spent ≤ 1599.985,spent_to_date > 1269.975,max_bet ≤ 16.2,local_time_after_18 ≤ 2056.0,0.16666666666666666,90.0,15.0,2.6032642619832592e-05,0.0006,0.00113,0.029
maturity_day > 14 & paying_matuirity > 14 & payments > 1,24.0,payments_last_7d > 3.5,max_daily_spent > 412.5,max_daily_spent > 723.5,local_time_12_to_18 ≤ 5671.0,daily_games_first_7d > 993.09,0.16666666666666666,90.0,15.0,2.6032642619832592e-05,0.0006,0.00113,0.03
maturity_day > 14 & paying_matuirity > 14 & payments > 1,19.0,payments_last_7d > 2.5,spent_last_14d > 2310.0,payments_to_date > 91.5,local_time_6_to_12 ≤ 16953.5,,0.16666666666666666,138.0,23.0,3.991671868374331e-05,0.0007,0.00174,0.032
maturity_day > 14 & paying_matuirity > 14 & payments > 1,40.0,payments_last_14d > 10.5,max_daily_spent > 730.995,win_amount_last_7d > 1882.975,win_amount_last_7d ≤ 13393.045,bet_money_to_date ≤ 53401.0,0.16666666666666666,90.0,15.0,2.6032642619832592e-05,0.0007,0.00113,0.033
maturity_day > 14 & paying_matuirity > 14 & payments > 1,39.0,payments_last_14d > 10.5,max_daily_spent > 730.995,win_amount_last_7d ≤ 12383.76,win_amount_last_7d > 4449.23,,0.1652892561983471,121.0,20.0,3.49994417444416e-05,0.0007,0.00151,0.035
maturity_day > 14 & paying_matuirity > 14 & payments > 1,43.0,win_amount_last_14d > 268.68,max_daily_spent > 719.995,win_amount_last_7d > 2676.47,bet_money_to_date ≤ 54854.35,,0.16304347826086957,92.0,15.0,2.6611145789162206e-05,0.0008,0.00113,0.036
maturity_day > 14 & paying_matuirity > 14 & payments > 1,30.0,payments_last_14d > 7.5,payments_last_14d > 101.5,spent_last_7d > 750.985,local_time_after_18 ≤ 8392.0,,0.16071428571428573,112.0,18.0,3.2396177482458336e-05,0.0008,0.00136,0.037
maturity_day < 14 & payments > 1,7.0,spent_to_date > 267.995,max_daily_spent ≤ 1239.485,daily_games_first_14d > 778.105,money_games_last_14d ≤ 14076.0,games_last_14d > 16232.0,0.15625,96.0,15.0,2.7768152127821434e-05,0.0008,0.00113,0.038
maturity_day > 14 & paying_matuirity > 14 & payments > 1,21.0,spent_last_7d > 129.485,max_daily_spent > 1295.0,money_games_last_7d > 7755.0,,,0.15555555555555556,90.0,14.0,2.6032642619832592e-05,0.0009,0.00106,0.039
maturity_day > 14 & paying_matuirity > 14 & payments > 1,18.0,payments_last_7d > 2.5,spent_last_7d ≤ 1208.49,max_bet > 10.9,daily_games_first_14d > 1170.9,daily_games_first_1d ≤ 1722.15,0.15555555555555556,90.0,14.0,2.6032642619832592e-05,0.0009,0.00106,0.04
maturity_day < 14 & payments > 1,2.0,spent_last_14d > 247.485,win_amount_last_14d ≤ 8415.855,bet_money_to_date ≤ 960.2,,,0.15555555555555556,90.0,14.0,2.6032642619832592e-05,0.0009,0.00106,0.041
maturity_day < 14 & payments > 1,11.0,payments_last_7d > 9.5,spent_last_7d > 1026.49,max_daily_spent > 1662.5,,,0.15454545454545454,110.0,17.0,3.181767431312872e-05,0.0009,0.00128,0.043
maturity_day > 14 & paying_matuirity > 14 & payments > 1,35.0,payments_last_14d > 14.5,payments_last_14d > 103.5,minutes_to_play ≤ 0.5,spent_last_14d > 2635.995,,0.15384615384615385,91.0,14.0,2.63218942044974e-05,0.001,0.00106,0.044
