,Payment Method,Minutes range,Payments,Paying users,Disputing users
0,General,1,20.019999999999996,20500,586
1,General,1,20.43,20328,585
2,General,1,20.5538,20095,581
3,General,1,21.266000000000002,19889,579
4,General,1,21.366,19834,578
5,General,1,21.465999999999998,19503,571
6,General,1,21.6017,19118,564
7,General,1,22.34,18864,564
8,General,1,22.64,18691,560
9,General,1,23.150000000000002,18459,554
10,General,1,23.25,18403,551
11,General,1,23.2975,18042,543
12,General,1,23.3,17974,543
13,General,1,23.349999999999998,17757,539
14,General,1,23.388021000000002,17226,533
15,General,1,23.497500000000002,17061,531
16,General,1,24.62067999999998,16810,529
17,General,1,25.233999999999998,16632,521
18,General,1,26.076,16433,516
19,General,1,27.6258,16195,511
20,General,1,27.950580000000002,16001,507
21,General,1,27.96,15951,505
22,General,1,28.06,15645,503
23,General,1,28.07,14969,491
24,General,1,28.08,14944,490
25,General,1,28.16,14608,481
26,General,1,28.237000000000002,14386,479
27,General,1,28.38,14151,477
28,General,1,28.740000000000002,13942,474
29,General,1,29.990000000000002,13736,469
30,General,1,30.886,13537,465
31,General,1,32.56,13337,461
32,General,1,32.67,13197,457
33,General,1,32.769999999999996,13041,448
34,General,1,32.8765,12730,441
35,General,1,34.454,12518,439
36,General,1,36.438,12303,434
37,General,1,37.34,12097,428
38,General,1,37.48,11907,428
39,General,1,37.56,10868,413
40,General,1,37.64,10798,411
41,General,1,37.716,10287,397
42,General,1,39.687855999999925,9840,385
43,General,1,41.048,9637,384
44,General,1,42.089999999999996,9483,381
45,General,1,43.823085000000034,9225,369
46,General,1,46.8,9036,366
47,General,1,46.9,8875,362
48,General,1,47.0,8775,361
49,General,1,47.295,7609,339
50,General,1,47.5,7282,333
51,General,1,47.504999999999995,6768,319
52,General,1,49.525999999999996,6583,311
53,General,1,51.31,6361,298
54,General,1,52.059049999999985,6150,289
55,General,1,56.22,5948,286
56,General,1,56.31058,5746,283
57,General,1,56.574,5556,278
58,General,1,59.03658,5331,268
59,General,1,61.313500000000005,5128,260
60,General,1,65.74,4925,252
61,General,1,66.32,4512,246
62,General,1,68.466,4314,243
63,General,1,73.81799999999998,4102,235
64,General,1,76.26658100000033,3895,226
65,General,1,84.47999999999999,3702,212
66,General,1,85.14,3493,203
67,General,1,89.5696,3280,191
68,General,1,94.0,3203,189
69,General,1,94.1,3038,183
70,General,1,94.69,2541,168
71,General,1,95.3,2297,160
72,General,1,95.7144559000001,2050,146
73,General,1,103.22,1868,135
74,General,1,112.74,1664,127
75,General,1,114.12,1479,119
76,General,1,132.65799999999928,1230,104
77,General,1,143.53599999999986,1025,90
78,General,1,178.48,821,79
79,General,1,190.6,620,67
80,General,1,219.05934000000036,410,51
81,General,1,376.4,208,39
82,General,1,2071.9,1,0
674,checkout_apple_pay,1,20.024,12529,295
675,checkout_apple_pay,1,20.424,12470,294
676,checkout_apple_pay,1,20.524,12287,293
677,checkout_apple_pay,1,21.266000000000002,12160,293
678,checkout_apple_pay,1,21.366,12124,292
679,checkout_apple_pay,1,21.465999999999998,11961,288
680,checkout_apple_pay,1,21.5017,11681,285
681,checkout_apple_pay,1,22.208,11530,284
682,checkout_apple_pay,1,22.4496,11402,283
683,checkout_apple_pay,1,23.24058,11277,279
684,checkout_apple_pay,1,23.25,11260,279
685,checkout_apple_pay,1,23.349999999999998,10932,272
686,checkout_apple_pay,1,23.35,10582,269
687,checkout_apple_pay,1,23.3975,10487,267
688,checkout_apple_pay,1,23.552500000000002,10276,265
689,checkout_apple_pay,1,24.78912,10148,264
690,checkout_apple_pay,1,25.293300000000002,10023,259
691,checkout_apple_pay,1,26.076,9914,255
692,checkout_apple_pay,1,27.018,9776,253
693,checkout_apple_pay,1,27.950580000000002,9656,251
694,checkout_apple_pay,1,27.96,9617,249
695,checkout_apple_pay,1,28.041159999999998,9406,247
696,checkout_apple_pay,1,28.06,9374,247
697,checkout_apple_pay,1,28.16,8791,233
698,checkout_apple_pay,1,28.237000000000002,8652,231
699,checkout_apple_pay,1,28.337,8522,230
700,checkout_apple_pay,1,29.002,8400,229
701,checkout_apple_pay,1,30.686,8271,228
702,checkout_apple_pay,1,30.9807,8147,225
703,checkout_apple_pay,1,32.57,8035,222
704,checkout_apple_pay,1,32.67,7961,219
705,checkout_apple_pay,1,32.769999999999996,7826,211
706,checkout_apple_pay,1,32.867021,7644,207
707,checkout_apple_pay,1,33.712,7519,205
708,checkout_apple_pay,1,35.495999999999995,7397,202
709,checkout_apple_pay,1,37.18,7277,200
710,checkout_apple_pay,1,37.379999999999995,7197,197
711,checkout_apple_pay,1,37.48,7083,197
712,checkout_apple_pay,1,37.56,6274,190
713,checkout_apple_pay,1,37.716,6198,189
714,checkout_apple_pay,1,39.164,5898,183
715,checkout_apple_pay,1,40.205999999999996,5822,183
716,checkout_apple_pay,1,41.989999999999995,5653,179
717,checkout_apple_pay,1,42.22026000000002,5513,175
718,checkout_apple_pay,1,46.48695679999992,5388,175
719,checkout_apple_pay,1,46.8,5327,172
720,checkout_apple_pay,1,47.0,5177,167
721,checkout_apple_pay,1,47.195,4390,152
722,checkout_apple_pay,1,47.295,4382,152
723,checkout_apple_pay,1,47.38100000000002,4135,147
724,checkout_apple_pay,1,49.0908,4010,140
725,checkout_apple_pay,1,50.568,3887,133
726,checkout_apple_pay,1,51.61,3767,130
727,checkout_apple_pay,1,55.178,3635,127
728,checkout_apple_pay,1,56.22,3576,126
729,checkout_apple_pay,1,56.32,3410,123
730,checkout_apple_pay,1,56.946,3259,120
731,checkout_apple_pay,1,60.730000000000004,3133,113
732,checkout_apple_pay,1,62.513999999999996,3009,110
733,checkout_apple_pay,1,65.74,2894,105
734,checkout_apple_pay,1,66.153,2651,103
735,checkout_apple_pay,1,68.466,2515,101
736,checkout_apple_pay,1,73.076,2382,96
737,checkout_apple_pay,1,75.53200000000001,2259,88
738,checkout_apple_pay,1,84.38,2131,78
739,checkout_apple_pay,1,84.68,2044,75
740,checkout_apple_pay,1,93.54041999999981,1880,67
741,checkout_apple_pay,1,94.0,1839,66
742,checkout_apple_pay,1,94.1,1727,64
743,checkout_apple_pay,1,94.59,1413,56
744,checkout_apple_pay,1,95.03000000000006,1253,50
745,checkout_apple_pay,1,99.57983999999998,1128,46
746,checkout_apple_pay,1,108.13,1005,42
747,checkout_apple_pay,1,112.83999999999999,918,40
748,checkout_apple_pay,1,126.77,753,31
749,checkout_apple_pay,1,141.1,665,24
750,checkout_apple_pay,1,159.83999999999997,509,18
751,checkout_apple_pay,1,188.3,377,14
752,checkout_apple_pay,1,206.94,261,8
753,checkout_apple_pay,1,285.92159999999996,126,4
754,checkout_apple_pay,1,2071.9,1,0
1964,checkout_credit_api,1,20.024,4909,147
1965,checkout_credit_api,1,20.523999999999997,4862,146
1966,checkout_credit_api,1,20.6538,4820,146
1967,checkout_credit_api,1,21.366,4773,144
1968,checkout_credit_api,1,21.465999999999998,4721,143
1969,checkout_credit_api,1,21.87087599999999,4614,140
1970,checkout_credit_api,1,22.508,4567,139
1971,checkout_credit_api,1,23.05,4470,135
1972,checkout_credit_api,1,23.25,4439,133
1973,checkout_credit_api,1,23.349999999999998,4338,130
1974,checkout_credit_api,1,23.35,4249,129
1975,checkout_credit_api,1,23.497500000000002,4176,129
1976,checkout_credit_api,1,24.83112,4123,128
1977,checkout_credit_api,1,25.372436,4074,127
1978,checkout_credit_api,1,26.076,4032,126
1979,checkout_credit_api,1,27.174672,3976,124
1980,checkout_credit_api,1,27.96,3931,122
1981,checkout_credit_api,1,28.06,3848,122
1982,checkout_credit_api,1,28.137,3645,121
1983,checkout_credit_api,1,28.16,3619,121
1984,checkout_credit_api,1,28.227521000000003,3538,120
1985,checkout_credit_api,1,28.323,3488,120
1986,checkout_credit_api,1,28.423000000000002,3444,119
1987,checkout_credit_api,1,29.844,3392,118
1988,checkout_credit_api,1,30.767159999999997,3339,117
1989,checkout_credit_api,1,31.727999999999998,3295,116
1990,checkout_credit_api,1,32.57,3259,116
1991,checkout_credit_api,1,32.769999999999996,3199,112
1992,checkout_credit_api,1,32.86964252,3142,108
1993,checkout_credit_api,1,33.8436,3093,108
1994,checkout_credit_api,1,35.495999999999995,3047,106
1995,checkout_credit_api,1,37.18,3000,106
1996,checkout_credit_api,1,37.379999999999995,2964,105
1997,checkout_credit_api,1,37.48,2929,105
1998,checkout_credit_api,1,37.480000000000004,2653,95
1999,checkout_credit_api,1,37.65823999999999,2602,93
2000,checkout_credit_api,1,37.716,2598,93
2001,checkout_credit_api,1,38.322,2504,90
2002,checkout_credit_api,1,40.4597,2455,90
2003,checkout_credit_api,1,41.995239999999995,2405,88
2004,checkout_credit_api,1,42.732,2357,85
2005,checkout_credit_api,1,46.6,2315,85
2006,checkout_credit_api,1,46.8,2284,83
2007,checkout_credit_api,1,47.0,2211,83
2008,checkout_credit_api,1,47.295,1827,75
2009,checkout_credit_api,1,47.5,1724,75
2010,checkout_credit_api,1,47.87000000000002,1669,73
2011,checkout_credit_api,1,50.31526800000001,1620,67
2012,checkout_credit_api,1,51.640800000000006,1571,63
2013,checkout_credit_api,1,55.178,1523,62
2014,checkout_credit_api,1,56.22,1485,61
2015,checkout_credit_api,1,56.574,1383,61
2016,checkout_credit_api,1,59.046,1331,57
2017,checkout_credit_api,1,61.2055,1277,55
2018,checkout_credit_api,1,65.74,1229,52
2019,checkout_credit_api,1,66.153,1137,49
2020,checkout_credit_api,1,69.18672000000001,1080,48
2021,checkout_credit_api,1,74.8664,1031,46
2022,checkout_credit_api,1,75.432,984,45
2023,checkout_credit_api,1,79.90920000000014,933,43
2024,checkout_credit_api,1,84.68,890,42
2025,checkout_credit_api,1,89.15399999999998,835,41
2026,checkout_credit_api,1,94.0,806,40
2027,checkout_credit_api,1,94.07246400000002,737,36
2028,checkout_credit_api,1,94.1,735,36
2029,checkout_credit_api,1,94.69,562,30
2030,checkout_credit_api,1,96.68119999999998,491,28
2031,checkout_credit_api,1,103.32,444,25
2032,checkout_credit_api,1,112.74,406,24
2033,checkout_credit_api,1,121.84800000000008,344,21
2034,checkout_credit_api,1,141.0,297,16
2035,checkout_credit_api,1,142.915,247,14
2036,checkout_credit_api,1,182.28488799999903,197,13
2037,checkout_credit_api,1,189.48,151,8
2038,checkout_credit_api,1,235.1,100,8
2039,checkout_credit_api,1,362.21484400000037,50,6
2040,checkout_credit_api,1,2071.9,1,0
1328,paypal_wallet_slave,1,20.019999999999996,5734,272
1329,paypal_wallet_slave,1,20.43,5696,272
1330,paypal_wallet_slave,1,20.523999999999997,5622,269
1331,paypal_wallet_slave,1,21.09,5589,268
1332,paypal_wallet_slave,1,21.38,5512,267
1333,paypal_wallet_slave,1,21.39,5502,267
1334,paypal_wallet_slave,1,22.05,5335,264
1335,paypal_wallet_slave,1,22.64,5294,264
1336,paypal_wallet_slave,1,23.0,5221,263
1337,paypal_wallet_slave,1,23.275199999999998,5103,259
1338,paypal_wallet_slave,1,23.3,5049,259
1339,paypal_wallet_slave,1,23.769999999999992,4816,255
1340,paypal_wallet_slave,1,25.134,4760,251
1341,paypal_wallet_slave,1,26.075434799999996,4702,249
1342,paypal_wallet_slave,1,27.769999999999996,4646,247
1343,paypal_wallet_slave,1,27.78,4639,246
1344,paypal_wallet_slave,1,28.0,4534,245
1345,paypal_wallet_slave,1,28.08,4476,244
1346,paypal_wallet_slave,1,28.38,4198,236
1347,paypal_wallet_slave,1,29.842599999999997,4014,230
1348,paypal_wallet_slave,1,31.318400000000004,3956,227
1349,paypal_wallet_slave,1,32.56,3901,225
1350,paypal_wallet_slave,1,32.74340000000001,3842,224
1351,paypal_wallet_slave,1,32.86,3821,223
1352,paypal_wallet_slave,1,33.22,3731,222
1353,paypal_wallet_slave,1,35.745920000000034,3670,221
1354,paypal_wallet_slave,1,37.33,3616,218
